1,1.04,511.21,1.46,1.06,55.71
17,1.12,544.32,1.33,0.96,55.45
33,1.26,600.51,1.59,1.17,55.62
49,0.87,1059.93,1.69,0.89,51.18
81,1.83,232.98,0.91,1.16,58.3
113,1.55,204.01,0.81,0.97,59.05
257,1.12,577.37,0.58,1.16,54.46
273,1.03,914.41,0.08,1.17,52.18
289,1.03,249.1,2.34,1.26,56.56
305,0.57,626.29,2.29,0.63,50.2
321,1.2,285.38,0.8,1.47,57.96
337,1.5,257.67,0.92,1.17,57.43
353,1.39,231.07,1.18,1.35,57.43
369,1.32,242.99,1.43,1.56,58.5
513,1,1065.87,1.05,0.78,53.68
529,0.96,1092.65,1,0.98,53.06
545,1.53,196.48,1.86,1.12,57.13
561,0.88,1056.54,1.7,0.91,50.94
577,1.45,197.72,1.15,1.49,56.83
593,1.41,251.27,2.12,1.48,58.86
609,1.58,198.09,1.08,1.57,57.36
625,1.08,313.45,1.15,1.5,58.63
769,0.81,208.34,2,0.98,54.05
785,1.52,261.29,1.65,1.69,58.69
801,1,824.92,1.07,0.85,53.75
817,0.99,1318.19,1.33,0.76,52.38
833,1.54,244.88,0.13,1.53,57.79
849,1.27,494.79,0.86,1.64,57.68
865,1.5,257.68,1.53,1.4,58.56
881,1.05,397.16,1.19,1.31,56.9
1025,1.43,251.4,1.93,1.29,58.11
1041,1.13,587.5,0.76,1.26,53.93
1057,1.24,595.6,1.51,1.05,56.91
1073,0.94,946.6,1.51,0.94,53.98
1089,0.99,326.95,1.03,1.27,54.04
1105,1.05,732.15,2,0.95,54.69
1121,0.89,914.22,1.04,1,50.9
1137,0.91,513.5,1.51,1.03,53.88
1297,0.87,900.4,1.25,1.13,53.22
1313,0.99,698.18,1.49,1.02,55.22
1329,1.85,244.08,1.26,1.56,57.64
1345,1.39,235.06,1.21,1.98,58.59
1361,1.14,289.16,1.79,1.35,57.27
1377,0.92,484.73,1.21,0.99,53.75
1393,0.99,769.67,1.51,1.03,53.07
1537,1.09,418.75,1.29,0.97,56.75
1553,1.02,729.44,0.77,1.11,52.51
1569,0.95,971.2,1.65,1.01,54.57
1585,0.8,1011.45,1.57,0.84,50.34
1601,1.34,226.85,0.97,2.02,57.26
1617,0.96,358.25,0.9,0.92,53.53
1633,0.99,367.67,1.24,1.04,55.59
1649,0.97,1007.57,1.28,0.94,53.17
1793,0.93,1197.46,0.05,0.78,52.01
1809,1.38,444.65,0.62,1.12,56.09
1825,1.47,251.59,2.41,1.45,59.08
1841,0.88,1421.28,1.43,0.69,50.32
1889,0.96,735.95,1.09,1.04,51.83
1905,0.82,1114.15,1.1,0.85,50.72
2049,0.82,299.25,2.17,0.94,55.96
2065,1.46,249.58,1.81,1.55,58.25
2081,1.47,252.88,0.32,1.78,57.01
2097,0.89,1603.37,1.26,0.63,51.37
2113,1.4,717.22,0.12,1.6,55.96
2129,0.91,436.2,1.72,1.03,54.54
2145,1.39,347.64,1.21,1.32,58.63
2161,1.14,1804.9,1.17,0.86,52.66
2305,1.02,1020.49,0.53,0.78,52.7
2321,1.01,762.91,1.15,1.02,53.91
2353,1.57,265.96,1.35,1.4,59.26
2369,1.73,434.32,1.23,1.64,58.97
2385,1.13,287.3,0.95,1.15,56.63
2401,1.25,306.28,1.65,1.36,57.97
2417,1.23,2119.58,1.38,0.85,50.39
2561,0.98,734.12,1.41,0.93,54.8
2577,1.02,645.63,1.2,1.04,53.75
2593,0.98,1741.94,0.72,0.62,50.74
2625,0.9,787.38,0.92,0.79,52.19
2657,0.85,1151.44,1.24,0.98,51.05
2817,1.09,855.53,1.11,0.74,54.17
2833,1.2,372.32,0.17,1.44,56.55
2849,0.82,1280.24,0.83,0.69,50.95
2865,0.89,1273.22,1.13,0.78,52.26
2881,0.66,225.92,0.75,0.96,52.79
2897,1.1,611.27,0.87,1.24,54.76
2913,1.15,416.67,1.74,1.25,57.48
3073,1.02,253.74,1.32,1.02,55.64
3089,1.86,252,1.96,1.5,59.11
3105,0.93,327.52,0.84,0.84,54.22
3121,0.88,329,2.22,1.01,54.97
3137,1.07,1375.67,0.96,0.93,51.14
3153,0.89,983.52,0.85,1.11,53.92
3169,1.27,225.13,1.23,1.4,56.79
3329,1.85,241.91,1.28,1.51,58.96
3345,1.45,350.18,1.42,1.41,59.28
3361,1.16,623.57,1.15,1.13,55.26
3377,0.6,688.39,2.25,0.62,50.9
3393,1.26,418.61,0.16,1.48,58.16
3409,0.91,234.83,0.14,1.31,53.87
3425,0.93,1557.06,1.17,0.8,50.36
3585,1.17,852.84,0.79,1.04,54.65
3601,1.96,326.16,1.01,1.62,59.88
3617,1.11,463.35,0.16,1.53,55.35
3633,1.03,1113.73,1.11,0.8,53.78
3649,1.16,1869.91,1.79,0.86,48.73
3665,1.03,806.94,1.07,1.08,53.13
3681,1.03,1898.81,1.39,0.81,49.05
